Date,stock,valorização_mean,valorização_median,valorização_q1,valorização_q3,valorização_count,bom negócio_mean,bom negócio_median,bom negócio_q1,bom negócio_q3,bom negócio_count,lucro_mean,lucro_median,lucro_q1,lucro_q3,lucro_count,neutro_mean,neutro_median,neutro_q1,neutro_q3,neutro_count,desvalorização_mean,desvalorização_median,desvalorização_q1,desvalorização_q3,desvalorização_count,mau negócio_mean,mau negócio_median,mau negócio_q1,mau negócio_q3,mau negócio_count,prejuízo_mean,prejuízo_median,prejuízo_q1,prejuízo_q3,prejuízo_count,governo_mean,governo_median,governo_q1,governo_q3,governo_count,has_tweets,Open,High,Low,Close,Adj Close,Volume,Receita Líquida - (R$),Custos - (R$),Lucro Bruto - (R$),Despesas/Receitas Operacionais - (R$),EBITDA - (R$),EBIT - (R$),Resultado Financeiro - (R$),Impostos - (R$),Lucro Líquido - (R$),Lucro atribuído a Controladora,Lucro atribuído a Não Controladores,Dívida Bruta - (R$),Margem Bruta - (%),Margem Ebitda - (%),Margem Líquida - (%)
2022-06-01,VALE3,0.9935757915178934,0.9943417906761168,0.9929130375385284,0.9946215450763702,3,0.7324448426564535,0.6680001616477966,0.637374609708786,0.7952927350997925,3,0.5735618658363819,0.7099950909614563,0.3742592018097639,0.8410811424255371,3,0.0006647556147071,0.0003650747530627,0.0003579479380276,0.0008217228605644,3,0.0021974674891679,0.0013394224224612,0.0012990821851417,0.0026668302598409,3,0.0343805793672799,0.017050165683031,0.0106969280168413,0.0493990238755941,3,0.281844263896346,0.0422038659453392,0.0257357144728302,0.4181326143443584,3,0.6227050224939982,0.6782806515693665,0.4797337651252746,0.7934640944004059,3,1,1.0,1.0300498464384122,0.9977955396678934,1.0237846080089965,0.8732717682491147,1.0,-0.0308,0.2152,-0.2135,-2.5978,-0.1356,-0.4131,3.9266,-0.5996,0.3075,0.3032,1.1538,-0.0054,-0.1886,-0.108,0.3489
2022-06-02,VALE3,0.8279849886894226,0.8279849886894226,0.8279849886894226,0.8279849886894226,1,0.8463136553764343,0.8463136553764343,0.8463136553764343,0.8463136553764343,1,0.7089009881019592,0.7089009881019592,0.7089009881019592,0.7089009881019592,1,0.0007345418562181,0.0007345418562181,0.0007345418562181,0.0007345418562181,1,0.943980038166046,0.943980038166046,0.943980038166046,0.943980038166046,1,0.0008225543424487,0.0008225543424487,0.0008225543424487,0.0008225543424487,1,0.0129650756716728,0.0129650756716728,0.0129650756716728,0.0129650756716728,1,0.1350964158773422,0.1350964158773422,0.1350964158773422,0.1350964158773422,1,1,1.0442046345361675,1.047453257014015,1.032602360819099,1.0430444248681254,0.8897000609714213,0.957481082604374,-0.0308,0.2152,-0.2135,-2.5978,-0.1356,-0.4131,3.9266,-0.5996,0.3075,0.3032,1.1538,-0.0054,-0.1886,-0.108,0.3489
2022-06-03,VALE3,0.7384882966677347,0.7260425090789795,0.6257842183113098,0.8449694812297821,3,0.8841894467671713,0.8949756026268005,0.8661981523036957,0.9075738191604614,3,0.5299909987176458,0.7028288245201111,0.3547809836454689,0.7916199266910553,3,0.0007365081498088,0.0004416680603753,0.0004281692963558,0.000897426958545,3,0.2193192788399755,0.0045596417039632,0.0039120835717767,0.3273466555401682,3,0.0010727734673612,0.0003193722222931,0.0002985126193379,0.0014703336928505,3,0.0557724655567047,0.0010504139354452,0.0007269786146934,0.0834569266880862,3,0.0627834322707106,0.0203528869897127,0.0111032832646742,0.0932483086362481,3,1,1.0384034976776333,1.042000174204061,1.025176912721641,1.026337122389683,0.8754489649375379,0.7019296314773277,-0.0308,0.2152,-0.2135,-2.5978,-0.1356,-0.4131,3.9266,-0.5996,0.3075,0.3032,1.1538,-0.0054,-0.1886,-0.108,0.3489
2022-06-06,VALE3,0.8376443088054657,0.8376443088054657,0.7901021093130112,0.8851865082979202,2,0.564582884311676,0.564582884311676,0.3963135480880737,0.7328522205352783,2,0.133204910904169,0.133204910904169,0.0881402548402547,0.1782695669680833,2,0.0031579974747727,0.0031579974747727,0.0019153432949678,0.0044006516545777,2,0.9722818732261658,0.9722818732261658,0.9610843956470488,0.9834793508052826,2,0.3616836016299203,0.3616836016299203,0.1810790516319684,0.5422881516278721,2,0.5080807469785213,0.5080807469785213,0.2633582446724176,0.752803249284625,2,0.4432667400687932,0.4432667400687932,0.2396478513255714,0.6468856288120151,2,1,1.0400278089165569,1.041768167677782,1.0273813730537475,1.0273813730537475,0.8763398133467221,0.5686757632650263,-0.0308,0.2152,-0.2135,-2.5978,-0.1356,-0.4131,3.9266,-0.5996,0.3075,0.3032,1.1538,-0.0054,-0.1886,-0.108,0.3489
2022-06-07,VALE3,0.7336215406656266,0.8657441139221191,0.710051953792572,0.996096968650818,5,0.4202621784061193,0.4749699234962463,0.1192693561315536,0.5007050633430481,5,0.3282840959727763,0.4719394445419311,0.1015277951955795,0.5013612508773804,5,0.0012849578866734,0.0012591113336384,0.0009028099011629,0.0018558041192591,5,0.2547747739590704,0.1101047620177269,0.0017370015848428,0.1684737205505371,5,0.1209141662693582,0.0018518371507525,0.000472212122986,0.0165521316230297,5,0.129869779292494,0.0364322550594806,0.0131708988919854,0.0393610522150993,5,0.4014228753745555,0.2787829637527466,0.2628031373023987,0.4256978034973144,5,1,1.0237846080089965,1.054530651062893,1.022276344292374,1.0513980761073465,0.8968255204700394,1.0284056072417351,-0.0308,0.2152,-0.2135,-2.5978,-0.1356,-0.4131,3.9266,-0.5996,0.3075,0.3032,1.1538,-0.0054,-0.1886,-0.108,0.3489
2022-06-08,VALE3,0.9028428196907043,0.9028428196907043,0.8609646260738373,0.9447210133075712,2,0.5574696734547615,0.5574696734547615,0.3710433952510357,0.7438959516584873,2,0.6097817942500114,0.6097817942500114,0.4160545654594898,0.8035090230405332,2,0.0013628481829073,0.0013628481829073,0.0009652292501414,0.0017604671156732,2,0.1270366091630421,0.1270366091630421,0.0642438201757613,0.1898293981503229,2,0.0213893213804112,0.0213893213804112,0.010834225853614,0.0319444169072084,2,0.16284810021898,0.16284810021898,0.0815273153093584,0.2441688851286016,2,0.077307995292358,0.077307995292358,0.0391590165090746,0.1154569740756414,2,1,1.0416521201554807,1.048033406107198,1.007657454623737,1.0151989502434962,0.865948293260498,1.026665244926482,-0.0308,0.2152,-0.2135,-2.5978,-0.1356,-0.4131,3.9266,-0.5996,0.3075,0.3032,1.1538,-0.0054,-0.1886,-0.108,0.3489
2022-06-09,VALE3,0.539403472509649,0.4832158982753753,0.2747261524200439,0.921466588973999,9,0.7227845274739795,0.779226541519165,0.7060644626617432,0.8435593843460083,9,0.3288961043840067,0.1758750528097152,0.1194967627525329,0.530866265296936,9,0.1030838063517067,0.0007085496908985,0.0005849136505275,0.0031244130805134,9,0.2702768505033519,0.1151162087917327,0.038467526435852,0.179691657423973,9,0.1202263109541187,0.0011573473457247,0.0004308580828364,0.0197466146200895,9,0.2074030115036293,0.029439054429531,0.0036384812556207,0.0643952414393425,9,0.2935692710129337,0.168742299079895,0.0066244471818208,0.2654775977134704,9,1,1.009397813384962,1.009397813384962,0.9798119799991076,0.9808562306631722,0.8366545703426792,1.3820495146407503,-0.0308,0.2152,-0.2135,-2.5978,-0.1356,-0.4131,3.9266,-0.5996,0.3075,0.3032,1.1538,-0.0054,-0.1886,-0.108,0.3489
2022-06-10,VALE3,0.8383570313453674,0.7729325294494629,0.7583678960800171,0.8856339156627655,3,0.0842869261590142,0.0047048097476363,0.0026024698745459,0.1261803242377936,3,0.1911472231149673,0.1971559524536132,0.1356728002429008,0.2496260106563567,3,0.0088151215653245,0.0045011960901319,0.0028193127945996,0.0126539675984531,3,0.9606107672055564,0.9677020311355592,0.9426911771297456,0.9820759892463684,3,0.6225797533988953,0.4518153369426727,0.4362804293632507,0.7234968692064285,3,0.6502139866352081,0.7019382119178772,0.4814274460077286,0.8448626399040222,3,0.5692080954710642,0.4273646473884582,0.354533091187477,0.7129613757133483,3,1,0.9672815916585996,0.9860772184285236,0.9557952769455088,0.9810882371894512,0.8368524087960304,1.092562902482587,-0.0308,0.2152,-0.2135,-2.5978,-0.1356,-0.4131,3.9266,-0.5996,0.3075,0.3032,1.1538,-0.0054,-0.1886,-0.108,0.3489
2022-06-13,VALE3,0.7470589180787405,0.8954095840454102,0.6345408409833908,0.9337523281574248,3,0.6610231498877207,0.6593711376190186,0.4951438456773758,0.8260764479637146,3,0.0798899357517559,0.0418655574321746,0.0280218310654162,0.112745851278305,3,0.000685689311164,0.0004800729511771,0.0004048971459269,0.0008636732964077,3,0.3721479376157124,0.3528887331485748,0.188003122806549,0.5466631501913071,3,0.0416386227686113,0.010801438242197,0.005484350156621,0.0623743031173944,3,0.2974808237146741,0.364168107509613,0.1823193164455005,0.4459859728813171,3,0.1801527308610578,0.1968753933906555,0.1017135183792561,0.2669532746076583,3,1,0.9525466544676614,0.9614804548000654,0.9293421070335244,0.9499941400869746,0.8103296634816594,1.182475275049602,-0.0308,0.2152,-0.2135,-2.5978,-0.1356,-0.4131,3.9266,-0.5996,0.3075,0.3032,1.1538,-0.0054,-0.1886,-0.108,0.3489
2022-06-14,VALE3,0.0307111255824565,0.0307111255824565,0.0307111255824565,0.0307111255824565,1,0.3007407188415527,0.3007407188415527,0.3007407188415527,0.3007407188415527,1,0.0018472460797056,0.0018472460797056,0.0018472460797056,0.0018472460797056,1,0.0011967557948082,0.0011967557948082,0.0011967557948082,0.0011967557948082,1,0.2602621018886566,0.2602621018886566,0.2602621018886566,0.2602621018886566,1,0.0191347617655992,0.0191347617655992,0.0191347617655992,0.0191347617655992,1,0.1029574275016784,0.1029574275016784,0.1029574275016784,0.1029574275016784,1,0.0106736188754439,0.0106736188754439,0.0106736188754439,0.0106736188754439,1,1,0.9552152163706495,0.9606682991806036,0.9385079138922072,0.948137822321772,0.8087462477082606,0.8619744162931425,-0.0308,0.2152,-0.2135,-2.5978,-0.1356,-0.4131,3.9266,-0.5996,0.3075,0.3032,1.1538,-0.0054,-0.1886,-0.108,0.3489
