Date,Open,High,Low,Close,Adj Close,Volume,stock,Receita Líquida - (R$),Custos - (R$),Lucro Bruto - (R$),Despesas/Receitas Operacionais - (R$),EBITDA - (R$),EBIT - (R$),Resultado Financeiro - (R$),Impostos - (R$),Lucro Líquido - (R$),Lucro atribuído a Controladora,Lucro atribuído a Não Controladores,Dívida Bruta - (R$),Margem Bruta - (%),Margem Ebitda - (%),Margem Líquida - (%)
2022-07-14,0.936454861445792,0.936454861445792,0.9110367932659238,0.9193979973859756,0.4906965401269477,1.0172113252159505,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-07-15,0.9264214420181,0.9381270767534324,0.9193979973859756,0.9351170381669396,0.4990860355222317,0.832969460576616,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-07-18,0.9494983194599766,0.9595318026785936,0.946488280873484,0.9565217640921012,0.5105100333237413,1.0092571818126903,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-07-19,0.9548494849935356,0.9779264262263376,0.9498327752796896,0.975919755098984,0.5208630452856242,1.0476579826204016,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-07-20,0.9722408048730652,0.9772575145869112,0.9642140565727266,0.975585299279271,0.5206846539638947,0.9388952650518196,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-07-21,0.9692307662865728,0.9742474760004188,0.9431438502582034,0.9705685895654248,0.518007125573903,1.2694528101619738,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-07-22,0.9712375012048512,0.985618718706963,0.9648829682121528,0.98093646481283,0.5235405736756159,1.2011295876012875,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-07-25,0.990301036392021,1.0284281067663608,0.990301036392021,1.0267558914587205,0.547995048038075,1.7066049377389263,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-07-26,1.043478299698824,1.0575251251721478,1.0230769412328018,1.0371237667061255,0.5535285918261753,1.6905003322316474,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-07-27,1.0468227303141049,1.0525083516673768,1.024080308691941,1.04849500941267,0.5595975328477015,1.2102120241968193,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-07-28,1.0565217577130086,1.0913043974720678,1.0511705921794494,1.079933154765523,0.5763766512201195,2.480875106788744,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-07-29,1.1237457827022104,1.1591973341006956,1.097993386284479,1.142140533831804,0.6095775949940965,3.915168747788718,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-08-01,1.1371237603270332,1.142140533831804,1.1110368442986638,1.1264214292599148,0.601188131494275,1.75532865044916,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-08-02,1.1294314678464077,1.1538461685671366,1.1197324404475035,1.131438202764686,0.6038656917797292,1.4917438278263422,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-08-03,1.1374581523558212,1.1424749258605922,1.122408087005208,1.1321069868222622,0.6042226020050381,1.4140231958095666,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-08-04,1.1397994068847377,1.1505017379518558,1.1230769986446345,1.1441471411682325,0.6106485170427982,1.1733278392861766,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-08-05,1.142140533831804,1.1725753117255184,1.1411371025817398,1.166220714941895,0.6224295526514666,1.6801989938127249,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-08-08,1.175250830701373,1.229765917287028,1.1749164386725848,1.2250836633928952,0.6538455625533491,2.361964222534798,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-08-09,1.2377926017964418,1.252842794728905,1.2324414362628826,1.2451505022482792,0.6645556123223909,1.7054097667474952,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-08-10,1.259197391512528,1.259197391512528,1.224414751753469,1.2411371599935723,0.6624135130612876,1.690705280325846,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-08-11,1.2525084027001168,1.2662207723537275,1.2123745974074986,1.2123745974074986,0.6470626097084302,2.780746528826489,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-08-12,0.9732441723322044,1.0645485060133473,0.9725752606927784,1.0605350999677154,0.6936079132897611,3.6952853308940914,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-08-15,1.0327759048407807,1.077926419847245,1.0217391179539494,1.0608695557874286,0.6938266523715456,2.0874286996367024,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-08-16,1.0608695557874286,1.072575254313686,1.053511719126516,1.0705685193954075,0.700169958161446,1.3854232286012615,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-08-17,1.058528428840362,1.097658866673841,1.0568562135327215,1.0956521317555623,0.7165749427588083,1.5732398194730892,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-08-18,1.107023374462107,1.1257525176204888,1.0993310819814814,1.1177257055292251,0.73101153078381,1.8240919720752828,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-08-19,1.1010032972891215,1.1086957173515972,1.047826097773244,1.0612040116071415,0.6940453276624051,2.700529844757212,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-08-22,1.0615384674268546,1.0896321821644273,1.0193979910068829,1.0839464970202302,0.7089193300600508,1.9933963566700896,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-08-23,1.0913043974720678,1.1204013520869296,1.0909698778614296,1.1183946171686512,0.731449008947379,1.579519860549002,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-08-24,1.121739175365782,1.1411371025817398,1.112040147966878,1.1250836059810627,0.7358237905830688,1.317447339126533,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
2022-08-25,1.1404681909423138,1.1491639146730035,1.09264209316907,1.1130434516350922,0.727949119847902,2.146811870593616,PETR4,-0.0052,0.1084,-0.0941,-22.3333,-0.1911,-0.2263,0.494,-0.2211,-0.1514,-0.1516,-0.0909,0.0455,-0.0894,-0.1869,-0.1467999999999999
