Date,Open,High,Low,Close,Adj Close,Volume,stock,Receita Líquida - (R$),Custos - (R$),Lucro Bruto - (R$),Despesas/Receitas Operacionais - (R$),EBITDA - (R$),EBIT - (R$),Resultado Financeiro - (R$),Impostos - (R$),Lucro Líquido - (R$),Lucro atribuído a Controladora,Lucro atribuído a Não Controladores,Dívida Bruta - (R$),Margem Bruta - (%),Margem Ebitda - (%),Margem Líquida - (%)
2022-06-15,0.9525466544676614,0.9719224303307682,0.9460494095119666,0.947557673228589,0.8082513417607499,1.2799584140996003,VALE3,-0.0308,0.2152,-0.2135,-2.5978,-0.1356,-0.4131,3.9266,-0.5996,0.3075,0.3032,1.1538,-0.0054,-0.1886,-0.108,0.3489
2022-06-17,0.9206404017457228,0.9206404017457228,0.8830490596875515,0.8981320509270702,0.7660921001290951,2.1674403725974813,VALE3,-0.0308,0.2152,-0.2135,-2.5978,-0.1356,-0.4131,3.9266,-0.5996,0.3075,0.3032,1.1538,-0.0054,-0.1886,-0.108,0.3489
2022-06-20,0.877131875306716,0.8838612153070134,0.8614688234923382,0.8759716656386739,0.7471897202608528,1.017776829950988,VALE3,-0.0308,0.2152,-0.2135,-2.5978,-0.1356,-0.4131,3.9266,-0.5996,0.3075,0.3032,1.1538,-0.0054,-0.1886,-0.108,0.3489
2022-06-21,0.8910546568781924,0.9008005243117346,0.8789882815902423,0.8817728024972081,0.7521379830710476,0.7990052896351332,VALE3,-0.0308,0.2152,-0.2135,-2.5978,-0.1356,-0.4131,3.9266,-0.5996,0.3075,0.3032,1.1538,-0.0054,-0.1886,-0.108,0.3489
2022-06-22,0.8585682550630711,0.8823529515903911,0.851374813491892,0.8742313068774489,0.7457052679732915,1.2273286390519025,VALE3,-0.0308,0.2152,-0.2135,-2.5978,-0.1356,-0.4131,3.9266,-0.5996,0.3075,0.3032,1.1538,-0.0054,-0.1886,-0.108,0.3489
2022-06-23,0.8868778312585819,0.8969717527407043,0.8403526888680064,0.8423250541555104,0.718489645480573,1.2164751760355537,VALE3,-0.0308,0.2152,-0.2135,-2.5978,-0.1356,-0.4131,3.9266,-0.5996,0.3075,0.3032,1.1538,-0.0054,-0.1886,-0.108,0.3489
2022-06-24,0.8444134669653157,0.8687782240674948,0.8423250541555104,0.8657616966342501,0.7384807564705124,0.852827041498311,VALE3,-0.0308,0.2152,-0.2135,-2.5978,-0.1356,-0.4131,3.9266,-0.5996,0.3075,0.3032,1.1538,-0.0054,-0.1886,-0.108,0.3489
2022-06-27,0.8875739393557424,0.9162315695998334,0.8824689105943687,0.905557499024528,0.7724259402593374,1.0977497153346103,VALE3,-0.0308,0.2152,-0.2135,-2.5978,-0.1356,-0.4131,3.9266,-0.5996,0.3075,0.3032,1.1538,-0.0054,-0.1886,-0.108,0.3489
2022-06-28,0.9281818973654824,0.9308504592684704,0.9140271092677268,0.9218006114137652,0.7862810053132239,0.9921207666733944,VALE3,-0.0308,0.2152,-0.2135,-2.5978,-0.1356,-0.4131,3.9266,-0.5996,0.3075,0.3032,1.1538,-0.0054,-0.1886,-0.108,0.3489
2022-06-29,0.9236570176972914,0.9292260595112232,0.9054414515022268,0.914143156790028,0.7797494152479539,0.7097250836859123,VALE3,-0.0308,0.2152,-0.2135,-2.5978,-0.1356,-0.4131,3.9266,-0.5996,0.3075,0.3032,1.1538,-0.0054,-0.1886,-0.108,0.3489
