,Receita Líquida - (R$),Custos - (R$),Lucro Bruto - (R$),Despesas/Receitas Operacionais - (R$),EBITDA - (R$),Amortização/Depreciação,EBIT - (R$),Resultado Financeiro - (R$),Impostos - (R$),Lucro Líquido - (R$),Lucro atribuído a Controladora,Lucro atribuído a Não Controladores,Dívida Bruta - (R$),Margem Bruta - (%),Margem Ebitda - (%),Margem Líquida - (%)
2024-01-01,-0.3506,-0.2198,-0.4971,0.7556999999999999,-0.3257,0.0,-0.3603,0.49479999999999996,-0.36329999999999996,-0.3115,-0.308,-0.6583,0.0877,-0.2256,0.0382,0.0602
2023-10-01,0.2414,0.1048,0.441,-1.2823,0.21530000000000002,,0.20579999999999998,-1.2499,4.6476999999999995,-0.1335,-0.13570000000000002,0.1765,-0.040999999999999995,0.1607,-0.0209,-0.30210000000000004
2023-07-01,0.08800000000000001,0.0509,0.1472,-0.09970000000000001,0.08380000000000001,-0.0101,0.1612,-1.6849,-0.9295,1.939,2.0317,-0.4302,0.04650000000000001,0.0545,-0.0039000000000000003,1.7015
2023-04-01,0.08929999999999999,0.1412,0.015700000000000002,-0.21710000000000002,0.0129,0.1297,-0.0316,0.7426,3.0416000000000003,-0.5118,-0.5196999999999999,-0.15960000000000002,0.0182,-0.0675,-0.0701,-0.5518
2023-01-01,-0.3012,-1.122,-0.2792,0.46270000000000006,-0.2165,-0.2799,-0.2163,0.1936,-1.4937,-0.5049,-0.5132,1.0881999999999998,-0.0055000000000000005,0.0315,0.1213,-0.2916
2022-10-01,0.2046,7.3792,0.32030000000000003,-0.6901,0.22030000000000002,0.1634,0.22820000000000001,-1.2827000000000002,2.0478,-0.1536,-0.16010000000000002,2.7586,0.0054,0.096,0.0129,-0.2973
2022-07-01,-0.0526,0.12480000000000001,-0.2563,0.2014,-0.4407,0.019299999999999998,-0.2688,2.0214,-0.0496,-0.233,-0.22469999999999998,-1.2302,-0.001,-0.215,-0.4097,-0.19039999999999999
2022-04-01,-0.0308,0.2152,-0.21350000000000002,-2.5978,-0.1356,0.1117,-0.4131,3.9266,-0.5996,0.3075,0.3032,1.1538,-0.0054,-0.1886,-0.10800000000000001,0.3489
